page,mode,dpi,proc,input_px,box_thr,text_thr,tile,overlap,nms_iou,tiles,raw,kept,anchors,hit,recall,clusters,clean,merged,spurious,mean_score,sec,postproc,err,overlay,tag,human_label,human_correct
10,single,300,defxdef,1236x800,0.08,0.1,,,,1,21,18,2,1,0.5,18,1,0,17,0.177,2.6,grounded,,dino_lab_runs\20260920_124756\p10_single_dpi300_box0.08_txt0.1_procDEFAULT.jpg,p10_single_dpi300_box0.08_txt0.1_procDEFAULT,correct,1.0
10,single,300,defxdef,1236x800,0.12,0.1,,,,1,13,12,2,0,0.0,12,0,0,12,0.221,2.8,grounded,,dino_lab_runs\20260920_124756\p10_single_dpi300_box0.12_txt0.1_procDEFAULT.jpg,p10_single_dpi300_box0.12_txt0.1_procDEFAULT,correct,1.0
11,tiled,300,defxdef,800x800,0.08,0.1,2800.0,0.2,0.45,6,134,17,2,2,1.0,17,2,0,15,0.173,13.0,grounded,,dino_lab_runs\20260920_124756\p11_tiled_dpi300_box0.08_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT.jpg,p11_tiled_dpi300_box0.08_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT,wrong,0.0
11,tiled,300,defxdef,800x800,0.12,0.1,2800.0,0.2,0.45,6,71,10,2,2,1.0,10,2,0,8,0.207,14.1,grounded,,dino_lab_runs\20260920_124756\p11_tiled_dpi300_box0.12_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT.jpg,p11_tiled_dpi300_box0.12_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT,wrong,0.0
11,single,300,defxdef,1236x800,0.08,0.1,,,,1,19,15,2,2,1.0,15,9,0,6,0.156,2.7,grounded,,dino_lab_runs\20260920_124756\p11_single_dpi300_box0.08_txt0.1_procDEFAULT.jpg,p11_single_dpi300_box0.08_txt0.1_procDEFAULT,wrong,0.0
11,single,300,defxdef,1236x800,0.12,0.1,,,,1,13,12,2,2,1.0,12,7,0,5,0.17,2.4,grounded,,dino_lab_runs\20260920_124756\p11_single_dpi300_box0.12_txt0.1_procDEFAULT.jpg,p11_single_dpi300_box0.12_txt0.1_procDEFAULT,correct,1.0
12,tiled,300,defxdef,800x800,0.08,0.1,2800.0,0.2,0.45,6,163,19,2,0,0.0,19,0,0,19,0.166,14.3,grounded,,dino_lab_runs\20260920_124756\p12_tiled_dpi300_box0.08_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT.jpg,p12_tiled_dpi300_box0.08_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT,wrong,0.0
12,tiled,300,defxdef,800x800,0.12,0.1,2800.0,0.2,0.45,6,83,10,2,0,0.0,10,0,0,10,0.223,14.0,grounded,,dino_lab_runs\20260920_124756\p12_tiled_dpi300_box0.12_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT.jpg,p12_tiled_dpi300_box0.12_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT,wrong,0.0
12,single,300,defxdef,1236x800,0.08,0.1,,,,1,24,21,2,0,0.0,21,0,0,21,0.164,3.0,grounded,,dino_lab_runs\20260920_124756\p12_single_dpi300_box0.08_txt0.1_procDEFAULT.jpg,p12_single_dpi300_box0.08_txt0.1_procDEFAULT,correct,1.0
12,single,300,defxdef,1236x800,0.12,0.1,,,,1,11,10,2,0,0.0,10,0,0,10,0.238,3.6,grounded,,dino_lab_runs\20260920_124756\p12_single_dpi300_box0.12_txt0.1_procDEFAULT.jpg,p12_single_dpi300_box0.12_txt0.1_procDEFAULT,correct,1.0
13,tiled,300,defxdef,800x800,0.08,0.1,2800.0,0.2,0.45,6,131,12,1,1,1.0,12,1,0,11,0.22,25.6,grounded,,dino_lab_runs\20260920_124756\p13_tiled_dpi300_box0.08_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT.jpg,p13_tiled_dpi300_box0.08_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT,wrong,0.0
