timestamp,tag,page,mode,dpi,proc,input_px,box_thr,text_thr,tile,overlap,nms_iou,anchors,kept,hit,recall,clean,merged,spurious,label
2026-09-19T15:18:14,p17_tiled_dpi200_box0.12_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT,17,tiled,200,defxdef,800x800,0.12,0.1,2800.0,0.2,0.45,14,33,14,1.0,5,6,22,correct
2026-09-19T15:18:15,p17_single_dpi200_box0.08_txt0.1_procDEFAULT,17,single,200,defxdef,1120x800,0.08,0.1,,,,14,19,9,0.643,4,2,13,wrong
2026-09-19T15:18:18,p17_single_dpi200_box0.12_txt0.1_procDEFAULT,17,single,200,defxdef,1120x800,0.12,0.1,,,,14,9,1,0.071,1,0,8,wrong
2026-09-19T15:18:25,p18_tiled_dpi200_box0.08_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT,18,tiled,200,defxdef,800x800,0.08,0.1,2800.0,0.2,0.45,8,44,8,1.0,8,2,34,correct
2026-09-19T15:18:27,p18_tiled_dpi200_box0.12_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT,18,tiled,200,defxdef,800x800,0.12,0.1,2800.0,0.2,0.45,8,34,8,1.0,6,2,26,correct
2026-09-19T15:18:35,p18_single_dpi200_box0.08_txt0.1_procDEFAULT,18,single,200,defxdef,1120x800,0.08,0.1,,,,8,25,2,0.25,4,0,21,correct
2026-09-19T15:18:38,p19_tiled_dpi200_box0.08_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT,19,tiled,200,defxdef,800x800,0.08,0.1,2800.0,0.2,0.45,11,51,11,1.0,7,4,40,wrong
2026-09-19T15:18:43,p19_tiled_dpi200_box0.12_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT,19,tiled,200,defxdef,800x800,0.12,0.1,2800.0,0.2,0.45,11,39,11,1.0,5,4,30,correct
2026-09-19T15:18:44,p19_single_dpi200_box0.08_txt0.1_procDEFAULT,19,single,200,defxdef,1120x800,0.08,0.1,,,,11,24,3,0.273,4,1,19,wrong
2026-09-19T15:18:45,p19_single_dpi200_box0.12_txt0.1_procDEFAULT,19,single,200,defxdef,1120x800,0.12,0.1,,,,11,8,3,0.273,0,1,7,wrong
2026-09-19T15:19:25,p18_single_dpi200_box0.12_txt0.1_procDEFAULT,18,single,200,defxdef,1120x800,0.12,0.1,,,,8,14,1,0.125,2,0,12,correct
2026-09-19T15:19:26,p20_tiled_dpi200_box0.08_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT,20,tiled,200,defxdef,800x800,0.08,0.1,2800.0,0.2,0.45,5,55,5,1.0,2,3,50,wrong
2026-09-19T15:19:27,p20_tiled_dpi200_box0.12_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT,20,tiled,200,defxdef,800x800,0.12,0.1,2800.0,0.2,0.45,5,42,5,1.0,1,3,38,wrong
2026-09-19T15:19:32,p20_single_dpi200_box0.08_txt0.1_procDEFAULT,20,single,200,defxdef,1120x800,0.08,0.1,,,,5,20,3,0.6,1,1,18,wrong
2026-09-19T15:19:32,p20_single_dpi200_box0.12_txt0.1_procDEFAULT,20,single,200,defxdef,1120x800,0.12,0.1,,,,5,11,0,0.0,0,0,11,correct
2026-09-19T15:19:33,p21_tiled_dpi200_box0.08_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT,21,tiled,200,defxdef,800x800,0.08,0.1,2800.0,0.2,0.45,7,61,7,1.0,5,4,52,wrong
2026-09-19T15:19:37,p21_tiled_dpi200_box0.12_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT,21,tiled,200,defxdef,800x800,0.12,0.1,2800.0,0.2,0.45,7,40,7,1.0,1,4,35,wrong
2026-09-19T15:19:38,p21_single_dpi200_box0.08_txt0.1_procDEFAULT,21,single,200,defxdef,1120x800,0.08,0.1,,,,7,22,4,0.571,0,2,20,wrong
2026-09-19T15:19:39,p21_single_dpi200_box0.12_txt0.1_procDEFAULT,21,single,200,defxdef,1120x800,0.12,0.1,,,,7,13,0,0.0,0,0,13,correct
2026-09-19T15:19:58,p22_tiled_dpi200_box0.08_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT,22,tiled,200,defxdef,800x800,0.08,0.1,2800.0,0.2,0.45,6,41,6,1.0,4,4,33,wrong
2026-09-19T15:19:59,p22_tiled_dpi200_box0.12_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT,22,tiled,200,defxdef,800x800,0.12,0.1,2800.0,0.2,0.45,6,31,6,1.0,1,3,27,wrong
2026-09-19T15:21:31,p22_single_dpi200_box0.08_txt0.1_procDEFAULT,22,single,200,defxdef,1120x800,0.08,0.1,,,,6,12,2,0.333,0,1,11,wrong
2026-09-19T15:21:33,p23_tiled_dpi200_box0.08_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT,23,tiled,200,defxdef,800x800,0.08,0.1,2800.0,0.2,0.45,6,39,6,1.0,2,4,33,wrong
